title,description,price,salePercentage,recentReviews,allReviews,genres,publisher
Colonize,Colonize is a combination of a survival game and building strategy that takes place during the colonization period - the 17th century.,11.99,,,,Unknown,CreativeForge Games
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",11.99,-40%,Very Positive,Very Positive,"Action, Adventure, RPG",Warner Bros. Games
Marvel’s Spider-Man Remastered,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.",59.99,-40%,Very Positive,Very Positive,"Action, Adventure, Casual",PlayStation Publishing LLC
Marvel’s Spider-Man: Miles Morales,"After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it",11.99,-40%,Very Positive,Very Positive,nan,nan
Days Gone,Demo of Days Gone By,11.99,-75%,Very Positive,Very Positive,Casual,Fineam Neo Studio
Ratchet & Clank: Rift Apart,No description available,11.99,-33%,Very Positive,Very Positive,Unknown,Unknown
Ori and the Will of the Wisps,"Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.",11.99,-67%,Overwhelmingly Positive,Overwhelmingly Positive,nan,nan
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,"The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.",11.99,-40%,Very Positive,Very Positive,nan,nan
CRISIS CORE –FINAL FANTASY VII– REUNION,You will receive a mini soundtrack showcasing the game’s powerful music and an art book filled with gorgeous illustrations. Immerse yourself in the rich universe of CRISIS CORE –FINAL FANTASY VII– REUNION!,24.99,-40%,Very Positive,Very Positive,"Action, RPG",Square Enix
UNCHARTED™: Legacy of Thieves Collection,Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies. This game includes the critically acclaimed single-player stories from both UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy.,11.99,-50%,Very Positive,Very Positive,nan,nan
Thronefall,No description available,11.99,-25%,Overwhelmingly Positive,Overwhelmingly Positive,Unknown,Unknown
Overcooked! 2,"Overcooked! 2 Carnival of Chaos invites players to a celebration of all things cooking, co-op and chaos! This colourful new DLC will put players to the test as you take on combo meals and that kitchen essential, the canon!",5.99,-75%,Very Positive,Very Positive,"Action, Casual, Indie",Team17 Digital Ltd
Dead Space,"The events take place in the future, on research complexes located on Mars. Take on the role of the hero who finds himself alone surrounded by the undead. Find a way to escape and immerse yourself in the atmosphere of cosmic horror. Prepare to explore the Undead Space.",11.99,-60%,Very Positive,Very Positive,"Action, Indie",Honor Games
CARRION,Do jobs to earn money to recharge to do jobs. An FPS speedrunning game developed for the A Game By Its Cover 2020 game jam.,11.99,-70%,Very Positive,Very Positive,Action,Minor Key Games
FINAL FANTASY XII THE ZODIAC AGE,"FINAL FANTASY XII THE ZODIAC AGE - This revered classic returns, now fully remastered for the first time for PC, featuring all new and enhanced gameplay.",66.99,-60%,Very Positive,Very Positive,RPG,Square Enix
Atomic Heart,"Dance to the tunes of Atomic Heart’s mad world with its official soundtrack! Enjoy a unique blend of classic Soviet-era songs and modern, adrenaline-fueled tracks created by the talented composers responsible for the game’s exceptional atmosphere.",9.99,-50%,Mostly Positive,Mostly Positive,Unknown,Focus Entertainment
Halo Infinite (Campaign),"When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced.",79.99,-60%,Mixed,Mixed,"Action, Adventure",Xbox Game Studios
Returnal™,No description available,11.99,-33%,Very Positive,Very Positive,Unknown,Unknown
FINAL FANTASY X/X-2 HD Remaster,"FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition &amp; now available on PC / Windows!",29.99,-60%,Very Positive,Very Positive,RPG,Square Enix
The Elder Scrolls V: Skyrim Special Edition,"Creation Credits can be used in the Creations menu in Skyrim. Browse the selection in-game by category and use your Credits to purchase content. Creations are compatible with the main game and official add-ons, including the Anniversary Edition upgrade.",4.99,-75%,Very Positive,Very Positive,RPG,Bethesda Softworks
STAR WARS™ Empire at War - Gold Pack,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?",11.99,-65%,Overwhelmingly Positive,Overwhelmingly Positive,nan,nan
FINAL FANTASY XV WINDOWS EDITION,Get a sneak peek into how it all starts with the demo version of FINAL FANTASY XV WINDOWS EDITION.,11.99,-60%,Very Positive,Very Positive,RPG,Square Enix
Dead by Daylight,"Only those deemed worthy of Uroboros can achieve true potential. Dead by Daylight: Resident Evil: PROJECT W features a new Killer – Albert Wesker, The Mastermind – and new Survivors Ada Wong and Rebecca Chambers. Purchasing this add-on unlocks an exclusive charm: Green Vial.",11.99,-60%,Very Positive,Very Positive,Action,Behaviour Interactive Inc.
"Star Wars: Battlefront 2 (Classic, 2005)","Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.",11.99,-65%,Very Positive,Very Positive,nan,nan
Destiny 2: Lightfall + Annual Pass,No description available,11.99,-67%,Mostly Negative,Mostly Negative,nan,nan
STRANGER OF PARADISE FINAL FANTASY ORIGIN,A digital deluxe upgrade for STRANGER OF PARADISE FINAL FANTASY ORIGIN. Includes the &quot;Season Pass&quot; and &quot;Digital Art Book and Digital Mini Soundtrack&quot; products.,11.99,-40%,Very Positive,Very Positive,"Action, Adventure",Square Enix
Grounded,The smallest double album of the year!,9.99,-33%,Very Positive,Very Positive,Unknown,Xbox Game Studios
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!",11.99,-66%,Very Positive,Very Positive,nan,nan
LEGO® Star Wars™ - The Complete Saga,"Kick Some Brick in I through VI! Play through all six Star Wars movies in one videogame! Adding new characters, new levels, new features and for the first time ever, the chance to build and battle your way through a fun Star Wars galaxy on your PC!",11.99,-75%,Overwhelmingly Positive,Overwhelmingly Positive,nan,nan
Bendy and the Dark Revival,"Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.",11.99,-80%,Very Positive,Very Positive,nan,nan
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"A game that will show gamers the deepest, darkest side of the Force in a story that puts them on a collision course with Luke Skywalker himself.",11.99,-65%,Very Positive,Very Positive,nan,nan
Thymesia,Delve into the work of Thymesia and explore the art behind the punishing action-RPG. See the Kingdom of Hermes and how the characters came to life in the official Artbook for the game.,4.99,-40%,Very Positive,Very Positive,Action,Team17 
Last Train Home,Can you keep your men alive long enough to reach home? Embark on this unforgettable journey. Download the free demo and discover if you have what it takes to lead your men to safety.,11.99,-34%,Very Positive,Very Positive,Strategy,THQ Nordic
Fallout 76,Emerge fully prepared and patriotically styled in the new American frontier.,11.99,-75%,Mostly Positive,Mostly Positive,RPG,Bethesda Softworks
